Fraud date;Passport;FIO;Phone;Fraud type;Report date
01.05.2020  01:19:11;6277406059;Городиловский Василий Олегович;+79982479830 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  01:35:08;7449819770;Крок Константин Иванович;+79767935690 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  02:22:28;5080911147;Омелюшкин Антон Александрович;+79869514150 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  02:48:52;6183431135;Ачентов Владимир Александрович;+79943917322 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  02:54:49;9861450589;Белохов Александр Васильевич;+79323907036 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  03:24:38;8811877586;Штыкашов Кирилл Кириллович;+79326801532 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  03:56:21;8878489751;Наранов Валерий Андреевич;+79343537028 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  03:57:20;2023060665;Наранов Константин Иванович;+79729384491 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  04:07:27;3407932346;Гладишкин Никита Валериевич;+79556552427 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  04:43:45;8213995492;Гладишкин Сергей Сергеевич;+79890732455 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  06:55:35;6805977889;Петропуло Дмитрий Никитович;+79630105292 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  07:40:07;6145797023;Барецкий Василий Кириллович;+79891553815 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  08:11:54;5599490788;Белохов Дмитрий Дмитриевич;+79531661301 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  08:18:57;6437518744;Поджарый Павел Александрович;+79623080462 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  08:48:03;7041310992;Бухарец Сергей Павлович;+79390152955 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
